,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives
Rule-Based,0.6277777777777778,0.5714285714285714,0.9887640449438202,0.7242798353909465,25,66,1,88
Transformer,0.75,0.8333333333333334,0.6179775280898876,0.7096774193548387,80,11,34,55
