entity_type,system,precision,recall,f1_score
SYMPTOM,Rule-Based,0.7941176470588235,0.9642857142857143,0.8709677419354839
SYMPTOM,Transformer,0.7777777777777778,0.5,0.6086956521739131
INTERVENTION,Rule-Based,0.6166666666666667,1.0,0.7628865979381443
INTERVENTION,Transformer,0.9,0.7297297297297297,0.8059701492537313
CLINICAL_CONDITION,Rule-Based,0.4,1.0,0.5714285714285714
CLINICAL_CONDITION,Transformer,0.7777777777777778,0.5833333333333334,0.6666666666666666
